word,level,
引,2,
羽,2,
雲,2,
園,2,
遠,2,
黄,2,
何,2,
夏,2,
家,2,
科,2,
歌,2,
画,2,
会,2,
回,2,
海,2,
絵,2,
外,2,
角,2,
楽,2,
活,2,
間,2,
丸,2,
岩,2,
顔,2,
帰,2,
汽,2,
記,2,
弓,2,
牛,2,
魚,2,
京,2,
強,2,
教,2,
近,2,
兄,2,
形,2,
計,2,
元,2,
原,2,
言,2,
古,2,
戸,2,
午,2,
後,2,
語,2,
交,2,
光,2,
公,2,
工,2,
広,2,
考,2,
行,2,
高,2,
合,2,
国,2,
黒,2,
今,2,
才,2,
細,2,
作,2,
算,2,
姉,2,
市,2,
思,2,
止,2,
紙,2,
寺,2,
時,2,
自,2,
室,2,
社,2,
弱,2,
首,2,
秋,2,
週,2,
春,2,
書,2,
少,2,
場,2,
色,2,
食,2,
心,2,
新,2,
親,2,
図,2,
数,2,
星,2,
晴,2,
声,2,
西,2,
切,2,
雪,2,
線,2,
船,2,
前,2,
組,2,
走,2,
多,2,
太,2,
体,2,
台,2,
谷,2,
知,2,
地,2,
池,2,
茶,2,
昼,2,
朝,2,
長,2,
鳥,2,
直,2,
通,2,
弟,2,
店,2,
点,2,
電,2,
冬,2,
刀,2,
東,2,
当,2,
答,2,
頭,2,
同,2,
道,2,
読,2,
内,2,
南,2,
肉,2,
馬,2,
買,2,
売,2,
麦,2,
半,2,
番,2,
父,2,
風,2,
分,2,
聞,2,
米,2,
歩,2,
母,2,
方,2,
北,2,
妹,2,
毎,2,
万,2,
明,2,
鳴,2,
毛,2,
門,2,
夜,2,
野,2,
矢,2,
友,2,
曜,2,
用,2,
来,2,
理,2,
里,2,
話,2,
